
[00:00:00.000 --> 00:00:00.800]  
[00:00:00.800 --> 00:00:00.880]   Jo
[00:45:00.520 --> 00:45:00.750]   seem
[00:45:00.750 --> 00:45:00.970]   like
[00:45:00.970 --> 00:45:00.980]   an
[00:45:00.980 --> 00:45:01.430]   ob
[00:45:01.430 --> 00:45:01.470]   like
[00:45:01.470 --> 00:45:01.480]   I
[00:45:01.480 --> 00:45:01.650]   don
[00:45:01.650 --> 00:45:01.760]  't
[00:45:01.760 --> 00:45:01.990]   know
[00:45:01.990 --> 00:45:02.210]   why
[00:45:02.210 --> 00:45:02.440]   I
[00:45:02.440 --> 00:45:02.510]   mean
[00:45:02.510 --> 00:45:02.640]   uh
[00:45:02.640 --> 00:45:02.660]   of
[00:45:02.660 --> 00:45:03.010]   course
[00:45:03.010 --> 00:45:03.060]   I
[00:45:03.060 --> 00:45:03.220]   don
[00:45:03.220 --> 00:45:03.430]  't
[00:45:03.430 --> 00:45:03.570]   know
[00:45:03.570 --> 00:45:03.980]   whether
[00:45:03.980 --> 00:45:04.330]   people
[00:45:04.330 --> 00:45:04.440]   do
[00:45:04.440 --> 00:45:04.550]   it
[00:45:04.550 --> 00:45:04.660]   or
[00:45:04.660 --> 00:45:04.830]   not
[00:45:04.830 --> 00:45:05.000]   but
[00:45:05.000 --> 00:45:05.110]  ,
[00:45:05.110 --> 00:45:05.220]   it
[00:45:05.220 --> 00:45:05.330]   it
[00:45:05.330 --> 00:45:05.560]   does
[00:45:05.560 --> 00:45:05.790]   seem
[00:45:05.790 --> 00:45:06.020]   like
[00:45:06.020 --> 00:45:06.070]   a
[00:45:06.070 --> 00:45:06.420]   really
[00:45:06.420 --> 00:45:06.830]   obvious
[00:45:06.830 --> 00:45:07.120]   thing
[00:45:07.120 --> 00:45:07.280]   to
[00:45:07.280 --> 00:45:07.340]   do
[00:45:07.340 --> 00:45:07.510]  .
[00:45:07.510 --> 00:45:07.930]   Because
[00:45:07.930 --> 00:45:08.030]   if
[00:45:08.030 --> 00:45:08.200]   you
[00:45:08.200 --> 00:45:08.430]   take
[00:45:08.430 --> 00:45:08.660]   away
[00:45:08.660 --> 00:45:09.010]   anyone
[00:45:09.010 --> 00:45:09.120]  's
[00:45:09.120 --> 00:45:09.410]   happy
[00:45:09.410 --> 00:45:09.540]   place
[00:45:09.540 --> 00:45:09.970]   then
[00:45:09.970 --> 00:45:10.310]   they
[00:45:10.310 --> 00:45:10.390]   then
[00:45:10.390 --> 00:45:10.620]   they
[00:45:10.620 --> 00:45:10.790]  're
[00:45:10.790 --> 00:45:11.020]   like
[00:45:11.020 --> 00:45:11.250]   what
[00:45:11.250 --> 00:45:11.420]   the
[00:45:11.420 --> 00:45:11.650]   hell
[00:45:11.650 --> 00:45:11.830]  ?
[00:45:11.830 --> 00:45:12.050]   You
[00:45:12.050 --> 00:45:12.270]   know
[00:45:12.270 --> 00:45:12.330]   I
[00:45:12.330 --> 00:45:12.380]  'm
[00:45:12.380 --> 00:45:12.430]   I
[00:45:12.430 --> 00:45:12.540]  'm
[00:45:12.540 --> 00:45:12.770]   just
[00:45:12.770 --> 00:45:12.930]   not
[00:45:12.930 --> 00:45:13.120]   you
[00:45:13.120 --> 00:45:13.340]   know
[00:45:13.340 --> 00:45:13.400]   I
[00:45:13.400 --> 00:45:13.500]  'm
[00:45:13.500 --> 00:45:13.730]   just
[00:45:13.730 --> 00:45:13.780]   I
[00:45:13.780 --> 00:45:14.010]   just
[00:45:14.010 --> 00:45:14.180]   can
[00:45:14.180 --> 00:45:14.290]  't
[00:45:14.290 --> 00:45:14.460]   get
[00:45:14.460 --> 00:45:14.930]   grounded
[00:45:14.930 --> 00:45:14.980]   I
[00:45:14.980 --> 00:45:15.090]  'm
[00:45:15.090 --> 00:45:15.200]  ,
[00:45:15.200 --> 00:45:15.370]   not
[00:45:15.370 --> 00:45:15.720]   myself
[00:45:15.720 --> 00:45:15.890]   you
[00:45:15.890 --> 00:45:16.000]  ,
[00:45:16.000 --> 00:45:16.260]   know
[00:45:16.260 --> 00:45:17.170]  .
[00:45:17.170 --> 00:45:17.420]   So
[00:45:17.420 --> 00:45:17.610]   they
[00:45:17.610 --> 00:45:17.910]   need
[00:45:17.910 --> 00:45:18.060]   to
[00:45:18.060 --> 00:45:18.380]   have
[00:45:18.380 --> 00:45:19.020]   multiple
[00:45:19.020 --> 00:45:19.400]   happy
[00:45:19.400 --> 00:45:20.010]   places
[00:45:20.010 --> 00:45:20.200]   to
[00:45:20.200 --> 00:45:20.380]   even
[00:45:20.380 --> 00:45:20.810]   kind
[00:45:20.810 --> 00:45:20.860]   of
[00:45:20.860 --> 00:45:21.180]   beat
[00:45:21.180 --> 00:45:21.420]   you
[00:45:21.420 --> 00:45:22.340]  . [SPEAKER_TURN]
[00:45:22.360 --> 00:45:22.430]  
[00:45:22.430 --> 00:45:22.520]   And
[00:45:22.520 --> 00:45:22.740]   yeah
[00:45:22.740 --> 00:45:22.900]   but
[00:45:22.900 --> 00:45:23.010]  ,
[00:45:23.010 --> 00:45:23.400]   usually
[00:45:23.400 --> 00:45:23.620]   they
[00:45:23.620 --> 00:45:23.780]   don
[00:45:23.780 --> 00:45:23.890]  't
[00:45:23.890 --> 00:45:24.090]   ha
[00:45:24.090 --> 00:45:24.230]   okay
[00:45:24.230 --> 00:45:24.330]   so
[00:45:24.330 --> 00:45:24.380]   y
[00:45:24.380 --> 00:45:24.710]   that
[00:45:24.710 --> 00:45:24.710]  's
[00:45:24.710 --> 00:45:24.840]   true
[00:45:24.840 --> 00:45:25.080]   and
[00:45:25.080 --> 00:45:25.360]   and
[00:45:25.360 --> 00:45:25.480]   uh
[00:45:25.480 --> 00:45:25.920]   ultimately
[00:45:25.920 --> 00:45:26.080]   you
[00:45:26.080 --> 00:45:26.360]   wanna
[00:45:26.360 --> 00:45:26.590]   have
[00:45:26.590 --> 00:45:26.630]   a
[00:45:26.630 --> 00:45:26.680]   f
[00:45:26.680 --> 00:45:26.840]   you
[00:45:26.840 --> 00:45:27.120]   wanna
[00:45:27.120 --> 00:45:27.220]   ha
[00:45:27.220 --> 00:45:27.330]   be
[00:45:27.330 --> 00:45:27.390]   a
[00:45:27.390 --> 00:45:27.720]   little
[00:45:27.720 --> 00:45:27.950]   more
[00:45:27.950 --> 00:45:28.480]   versatile
[00:45:28.480 --> 00:45:28.770]   little
[00:45:28.770 --> 00:45:28.880]  ,
[00:45:28.880 --> 00:45:29.100]   more
[00:45:29.100 --> 00:45:29.540]   adaptive
[00:45:29.540 --> 00:45:29.650]   so
[00:45:29.650 --> 00:45:29.760]  ,
[00:45:29.760 --> 00:45:29.920]   you
[00:45:29.920 --> 00:45:30.080]  're
[00:45:30.080 --> 00:45:30.410]   harder
[00:45:30.410 --> 00:45:30.520]   to
[00:45:30.520 --> 00:45:30.680]   put
[00:45:30.680 --> 00:45:30.790]   in
[00:45:30.790 --> 00:45:30.840]   a
[00:45:30.840 --> 00:45:31.000]   box
[00:45:31.000 --> 00:45:31.860]  . [SPEAKER_TURN]
[00:45:31.860 --> 00:45:32.000]   So
[00:45:32.000 --> 00:45:32.180]   you
[00:45:32.180 --> 00:45:32.370]  're
[00:45:32.370 --> 00:45:32.670]   all
[00:45:32.670 --> 00:45:32.820]   like
[00:45:32.820 --> 00:45:32.880]   a
[00:45:32.880 --> 00:45:33.070]   fre
[00:45:33.070 --> 00:45:33.450]  estyle
[00:45:33.450 --> 00:45:33.740]   team
[00:45:33.740 --> 00:45:33.900]  .
[00:45:33.900 --> 00:45:33.980]   A
[00:45:33.980 --> 00:45:34.150]   fre
[00:45:34.150 --> 00:45:34.530]  estyle
[00:45:34.530 --> 00:45:34.990]   team
[00:45:34.990 --> 00:45:35.050]   that
[00:45:35.050 --> 00:45:35.400]   locks
[00:45:35.400 --> 00:45:35.630]   down
[00:45:35.630 --> 00:45:35.950]   their
[00:45:35.950 --> 00:45:36.140]   key
[00:45:36.140 --> 00:45:36.660]   strength
[00:45:36.660 --> 00:45:37.460]  . [SPEAKER_TURN]
[00:45:37.460 --> 00:45:37.460]   Yeah
[00:45:37.460 --> 00:45:37.760]   you
[00:45:37.760 --> 00:45:37.840]  ,
[00:45:37.840 --> 00:45:38.060]   wanna
[00:45:38.060 --> 00:45:38.310]   lock
[00:45:38.310 --> 00:45:38.370]   or
[00:45:38.370 --> 00:45:38.480]   lock
[00:45:38.480 --> 00:45:38.650]   down
[00:45:38.650 --> 00:45:38.780]   the
[00:45:38.780 --> 00:45:39.050]   other
[00:45:39.050 --> 00:45:39.220]   teams
[00:45:39.220 --> 00:45:39.350]   key
[00:45:39.350 --> 00:45:39.690]   straight
[00:45:39.690 --> 00:45:39.830]  .
[00:45:39.830 --> 00:45:39.960]   And
[00:45:39.960 --> 00:45:40.050]   so
[00:45:40.050 --> 00:45:40.170]   but
[00:45:40.170 --> 00:45:40.320]   you
[00:45:40.320 --> 00:45:40.560]   wouldn
[00:45:40.560 --> 00:45:40.640]  't
[00:45:40.640 --> 00:45:40.810]   have
[00:45:40.810 --> 00:45:40.980]   more
[00:45:40.980 --> 00:45:41.060]   of
[00:45:41.060 --> 00:45:41.220]   a [SPEAKER_TURN]
[00:45:41.220 --> 00:45:41.280]   It
[00:45:41.280 --> 00:45:41.340]  's
[00:45:41.340 --> 00:45:41.580]   probably
[00:45:41.580 --> 00:45:41.610]   a
[00:45:41.610 --> 00:45:41.730]   good
[00:45:41.730 --> 00:45:41.970]   business
[00:45:41.970 --> 00:45:42.230]   strategy
[00:45:42.230 --> 00:45:42.560]  . [SPEAKER_TURN]
[00:45:43.320 --> 00:45:42.580]   you
[00:45:42.580 --> 00:45:42.580]   know
[00:45:42.580 --> 00:45:42.590]   we
[00:45:42.590 --> 00:45:42.590]  're
[00:45:42.590 --> 00:45:42.610]  ,
[00:45:42.610 --> 00:45:42.610]   gonna
[00:45:42.610 --> 00:45:42.620]   take
[00:45:42.620 --> 00:45:42.630]   away
[00:45:42.630 --> 00:45:42.650]   their
[00:45:42.650 --> 00:45:42.670]   their
[00:45:42.670 --> 00:45:42.700]   strongest
[00:45:42.700 --> 00:45:42.710]   move
[00:45:42.710 --> 00:45:42.720]  .
[00:45:42.720 --> 00:45:42.730]   Yeah
[00:45:42.730 --> 00:45:42.730]   I
[00:45:42.730 --> 00:45:42.730]  ,
[00:45:42.730 --> 00:45:42.740]   mean
[00:45:42.740 --> 00:45:42.740]   I
[00:45:42.740 --> 00:45:42.740]  'm
[00:45:42.740 --> 00:45:42.750]   sure
[00:45:42.750 --> 00:45:42.750]   it
[00:45:42.750 --> 00:45:42.750]   is
[00:45:42.750 --> 00:45:42.760]   and
[00:45:42.760 --> 00:45:42.780]   there
[00:45:42.780 --> 00:45:42.780]  's
[00:45:42.780 --> 00:45:42.810]   probably
[00:45:42.810 --> 00:45:42.820]   lots
[00:45:42.820 --> 00:45:42.820]   of
[00:45:42.820 --> 00:45:42.850]   examples
[00:45:42.850 --> 00:45:42.860]   that
[00:45:42.860 --> 00:45:42.880]   people
[00:45:42.880 --> 00:45:42.880]   do
[00:45:42.880 --> 00:45:42.890]   this
[00:45:42.890 --> 00:45:42.900]  .
[00:45:42.900 --> 00:45:42.900]   I
[00:45:42.900 --> 00:45:42.910]   mean
[00:45:42.910 --> 00:45:42.910]   I
[00:45:42.910 --> 00:45:42.910]   I
[00:45:42.910 --> 00:45:42.910]   d
[00:45:42.910 --> 00:45:42.910]   it
[00:45:42.910 --> 00:45:42.910]  's
[00:45:42.910 --> 00:45:42.910]   um
[00:45:42.910 --> 00:45:42.920]   yeah
[00:45:42.920 --> 00:45:42.920]  ,
[00:45:42.920 --> 00:45:42.920]   I
[00:45:42.920 --> 00:45:42.930]   mean
[00:45:42.930 --> 00:45:42.930]   it
[00:45:42.930 --> 00:45:42.930]   I
[00:45:42.930 --> 00:45:42.940]   mean
[00:45:42.940 --> 00:45:42.950]   like
[00:45:42.950 --> 00:45:42.950]   a
[00:45:42.950 --> 00:45:42.960]   lot
[00:45:42.960 --> 00:45:42.960]   of
[00:45:42.960 --> 00:45:42.980]   times
[00:45:42.980 --> 00:45:42.990]   you
[00:45:42.990 --> 00:45:43.010]   would
[00:45:43.010 --> 00:45:43.020]   see
[00:45:43.020 --> 00:45:43.030]   like
[00:45:43.030 --> 00:45:43.030]   in
[00:45:43.030 --> 00:45:43.050]   sports
[00:45:43.050 --> 00:45:43.050]   or
[00:45:43.050 --> 00:45:43.080]   something
[00:45:43.080 --> 00:45:43.080]  ,
[00:45:43.080 --> 00:45:43.100]   there
[00:45:43.100 --> 00:45:43.110]  'll
[00:45:43.110 --> 00:45:43.110]   be
[00:45:43.110 --> 00:45:43.130]   some
[00:45:43.130 --> 00:45:43.150]   new
[00:45:43.150 --> 00:45:43.160]   athlete
[00:45:43.160 --> 00:45:43.170]  'll
[00:45:43.170 --> 00:45:43.170]   show
[00:45:43.170 --> 00:45:43.180]   up
[00:45:43.180 --> 00:45:43.190]   and
[00:45:43.190 --> 00:45:43.200]   they
[00:45:43.200 --> 00:45:43.200]  'll
[00:45:43.200 --> 00:45:43.210]   do
[00:45:43.210 --> 00:45:43.230]   some
[00:45:43.230 --> 00:45:43.230]   amazing
[00:45:43.230 --> 00:45:43.250]   stuff
[00:45:43.250 --> 00:45:43.260]   and
[00:45:43.260 --> 00:45:43.270]   they
[00:45:43.270 --> 00:45:43.290]  'll
[00:45:43.290 --> 00:45:43.300]   just
[00:45:43.300 --> 00:45:43.300]   kill
[00:45:43.300 --> 00:45:43.300]   it
[00:45:43.300 --> 00:45:43.310]   for
[00:45:43.310 --> 00:45:43.310]   a
[00:45:43.310 --> 00:45:43.340]   while
[00:45:43.340 --> 00:45:43.350]   people
[00:45:43.350 --> 00:45:43.350]  ,
[00:45:43.350 --> 00:45:43.360]   like
[00:45:43.360 --> 00:45:43.360]   oh
[00:45:43.360 --> 00:45:43.370]   my
[00:45:43.370 --> 00:45:43.370]   god
[00:45:43.370 --> 00:45:43.370]  ,
[00:45:43.370 --> 00:45:43.380]   this
[00:45:43.380 --> 00:45:43.390]   guy
[00:45:43.390 --> 00:45:43.390]  's
[00:45:43.390 --> 00:45:43.390]   r
[00:45:43.390 --> 00:45:43.410]   redef
[00:45:43.410 --> 00:45:43.430]  ining
[00:45:43.430 --> 00:45:43.440]   the
[00:45:43.440 --> 00:45:43.460]   sport
[00:45:43.460 --> 00:45:43.470]  .
[00:45:43.470 --> 00:45:43.480]   But
[00:45:43.480 --> 00:45:43.500]   another
[00:45:43.500 --> 00:45:43.510]   team
[00:45:43.510 --> 00:45:43.520]   will
[00:45:43.520 --> 00:45:43.540]   figure
[00:45:43.540 --> 00:45:43.550]   out
[00:45:43.550 --> 00:45:43.560]   how
[00:45:43.560 --> 00:45:43.560]   to
[00:45:43.560 --> 00:45:43.580]   neutral
[00:45:43.580 --> 00:45:43.590]  ize
[00:45:43.590 --> 00:45:43.590]   it
[00:45:43.590 --> 00:46:05.120]  . [SPEAKER_TURN]
[00:46:05.120 --> 00:46:05.180]   M
[00:46:05.180 --> 00:46:05.210]  m
[00:46:05.210 --> 00:46:05.240]  -
[00:46:05.240 --> 00:46:05.250]  h
[00:46:05.250 --> 00:46:05.300]  mm
[00:46:05.300 --> 00:46:05.680]  . [SPEAKER_TURN]
[00:46:05.840 --> 00:46:05.840]  
[00:46:05.840 --> 00:46:05.920]   I
[00:46:05.920 --> 00:46:05.920]   g
[00:46:05.920 --> 00:46:05.960]   I
[00:46:05.960 --> 00:46:06.340]   remember
[00:46:06.340 --> 00:46:06.580]   there
[00:46:06.580 --> 00:46:06.720]   was
[00:46:06.720 --> 00:46:06.910]   this
[00:46:06.910 --> 00:46:07.120]   game
[00:46:07.120 --> 00:46:07.180]   a
[00:46:07.180 --> 00:46:07.330]   year
[00:46:07.330 --> 00:46:07.420]   or
[00:46:07.420 --> 00:46:07.560]   two
[00:46:07.560 --> 00:46:07.720]   ago
[00:46:07.720 --> 00:46:07.890]   with
[00:46:07.890 --> 00:46:08.220]   Michael
[00:46:08.220 --> 00:46:08.410]   Vick
[00:46:08.410 --> 00:46:08.590]   who
[00:46:08.590 --> 00:46:08.640]   uh
[00:46:08.640 --> 00:46:08.780]   was
[00:46:08.780 --> 00:46:08.820]   a
[00:46:08.820 --> 00:46:09.340]   quarterback
[00:46:09.340 --> 00:46:09.540]   for
[00:46:09.540 --> 00:46:10.050]   Philadelphia
[00:46:10.050 --> 00:46:10.190]   and
[00:46:10.190 --> 00:46:10.270]   he
[00:46:10.270 --> 00:46:10.350]  's
[00:46:10.350 --> 00:46:10.460]   he
[00:46:10.460 --> 00:46:10.690]   he
[00:46:10.690 --> 00:46:10.760]   not
[00:46:10.760 --> 00:46:10.960]   only
[00:46:10.960 --> 00:46:11.120]   could
[00:46:11.120 --> 00:46:11.380]   throw
[00:46:11.380 --> 00:46:11.500]   but
[00:46:11.500 --> 00:46:11.590]   he
[00:46:11.590 --> 00:46:11.840]   could
[00:46:11.840 --> 00:46:12.210]   scramble
[00:46:12.210 --> 00:46:12.350]  .
[00:46:12.350 --> 00:46:12.540]   Like
[00:46:12.540 --> 00:46:12.630]   if
[00:46:12.630 --> 00:46:12.760]   you
[00:46:12.760 --> 00:46:13.050]   didn
[00:46:13.050 --> 00:46:13.060]  't
[00:46:13.060 --> 00:46:13.390]   worry
[00:46:13.390 --> 00:46:13.530]   about
[00:46:13.530 --> 00:46:13.670]   him
[00:46:13.670 --> 00:46:14.170]   scrambling
[00:46:14.170 --> 00:46:14.240]   he
[00:46:14.240 --> 00:46:14.330]  ,
[00:46:14.330 --> 00:46:14.570]   would
[00:46:14.570 --> 00:46:14.710]   run
[00:46:14.710 --> 00:46:14.850]   for
[00:46:14.850 --> 00:46:15.230]   twenty
[00:46:15.230 --> 00:46:15.370]   yards
[00:46:15.370 --> 00:46:15.740]  .
[00:46:15.740 --> 00:46:15.830]   And
[00:46:15.830 --> 00:46:16.130]   he
[00:46:16.130 --> 00:46:16.200]   had
[00:46:16.200 --> 00:46:16.370]   this
[00:46:16.370 --> 00:46:16.460]   one
[00:46:16.460 --> 00:46:16.650]   game
[00:46:16.650 --> 00:46:16.890]   where
[00:46:16.890 --> 00:46:16.970]   he
[00:46:16.970 --> 00:46:17.160]   like
[00:46:17.160 --> 00:46:17.310]   ran
[00:46:17.310 --> 00:46:17.450]   for
[00:46:17.450 --> 00:46:17.650]   like
[00:46:17.650 --> 00:46:17.680]   a
[00:46:17.680 --> 00:46:18.020]   hundred
[00:46:18.020 --> 00:46:18.260]   fifty
[00:46:18.260 --> 00:46:18.500]   yards
[00:46:18.500 --> 00:46:18.590]   or
[00:46:18.590 --> 00:46:19.030]   something
[00:46:19.030 --> 00:46:19.170]   and
[00:46:19.170 --> 00:46:19.420]   threw
[00:46:19.420 --> 00:46:19.550]   for
[00:46:19.550 --> 00:46:19.640]   th
[00:46:19.640 --> 00:46:19.880]   three
[00:46:19.880 --> 00:46:20.220]   hundred
[00:46:20.220 --> 00:46:20.490]   yards
[00:46:20.490 --> 00:46:20.560]  ,
[00:46:20.560 --> 00:46:20.690]   and
[00:46:20.690 --> 00:46:20.930]   every
[00:46:20.930 --> 00:46:21.070]   and
[00:46:21.070 --> 00:46:21.240]   all
[00:46:21.240 --> 00:46:21.350]   the
[00:46:21.350 --> 00:46:21.640]   announ
[00:46:21.640 --> 00:46:21.830]  cers
[00:46:21.830 --> 00:46:22.310]   afterwards
[00:46:22.310 --> 00:46:22.450]   and
[00:46:22.450 --> 00:46:22.640]   even
[00:46:22.640 --> 00:46:22.870]   other
[00:46:22.870 --> 00:46:23.460]   quarterbacks
[00:46:23.460 --> 00:46:23.650]   were
[00:46:23.650 --> 00:46:24.040]   tweeting
[00:46:24.040 --> 00:46:24.230]   like
[00:46:24.230 --> 00:46:24.320]   oh
[00:46:24.320 --> 00:46:24.460]   you
[00:46:24.460 --> 00:46:24.560]  ,
[00:46:24.560 --> 00:46:24.740]   know
[00:46:24.740 --> 00:46:24.830]  ,
[00:46:24.830 --> 00:46:24.940]   my
[00:46:24.940 --> 00:46:25.060]   God
[00:46:25.060 --> 00:46:25.150]   we
[00:46:25.150 --> 00:46:25.190]   w
[00:46:25.190 --> 00:46:25.230]   w
[00:46:25.230 --> 00:46:25.320]   we
[00:46:25.320 --> 00:46:25.460]  're
[00:46:25.460 --> 00:46:25.750]   seeing
[00:46:25.750 --> 00:46:25.840]   an
[00:46:25.840 --> 00:46:25.930]   ev
[00:46:25.930 --> 00:46:26.370]   evolution
[00:46:26.370 --> 00:46:26.460]   of
[00:46:26.460 --> 00:46:26.600]   the
[00:46:26.600 --> 00:46:27.120]   quarterback
[00:46:27.120 --> 00:46:27.270]  .
[00:46:27.270 --> 00:46:27.460]   Like
[00:46:27.460 --> 00:46:27.740]   this
[00:46:27.740 --> 00:46:27.850]   is
[00:46:27.850 --> 00:46:28.080]   amazing
[00:46:28.080 --> 00:46:28.630]  .
[00:46:28.630 --> 00:46:28.990]   But
[00:46:28.990 --> 00:46:29.000]   then
[00:46:29.000 --> 00:46:29.540]   immediately
[00:46:29.540 --> 00:46:29.740]   like
[00:46:29.740 --> 00:46:30.070]   within
[00:46:30.070 --> 00:46:30.090]   a
[00:46:30.090 --> 00:46:30.310]   game
[00:46:30.310 --> 00:46:30.390]   or
[00:46:30.390 --> 00:46:30.540]   two
[00:46:30.540 --> 00:46:30.640]  ,
[00:46:30.640 --> 00:46:30.790]   all
[00:46:30.790 --> 00:46:30.890]   of
[00:46:30.890 --> 00:46:30.940]   a
[00:46:30.940 --> 00:46:31.230]   sudden
[00:46:31.230 --> 00:46:31.340]  ,
[00:46:31.340 --> 00:46:31.590]   other
[00:46:31.590 --> 00:46:31.840]   teams
[00:46:31.840 --> 00:46:32.040]   just
[00:46:32.040 --> 00:46:32.240]   shut
[00:46:32.240 --> 00:46:32.340]   it
[00:46:32.340 --> 00:46:32.540]   down
[00:46:32.540 --> 00:46:32.740]   They
[00:46:32.740 --> 00:46:32.890]  .
[00:46:32.890 --> 00:46:33.240]   figured
[00:46:33.240 --> 00:46:33.390]   out
[00:46:33.390 --> 00:46:33.590]   like
[00:46:33.590 --> 00:46:33.790]   what
[00:46:33.790 --> 00:46:34.310]   strategy
[00:46:34.310 --> 00:46:34.340]   how
[00:46:34.340 --> 00:46:34.440]   do
[00:46:34.440 --> 00:46:34.550]   we
[00:46:34.550 --> 00:46:34.740]   keep
[00:46:34.740 --> 00:46:34.890]   him
[00:46:34.890 --> 00:46:35.340]   contained
[00:46:35.340 --> 00:46:35.580]   so
[00:46:35.580 --> 00:46:35.640]   that
[00:46:35.640 --> 00:46:35.840]   he
[00:46:35.840 --> 00:46:36.010]  
[00:46:36.010 --> 00:46:36.040]   get
[00:46:36.040 --> 00:46:36.410]   around
[00:46:36.410 --> 00:46:36.600]   the
[00:46:36.600 --> 00:46:36.960]   corner
[00:46:36.960 --> 00:46:37.170]   and
[00:46:37.170 --> 00:46:37.360]   run
[00:46:37.360 --> 00:46:37.550]   and
[00:46:37.550 --> 00:46:37.830]   they
[00:46:37.830 --> 00:46:38.180]   figure
[00:46:38.180 --> 00:46:38.300]   it
[00:46:38.300 --> 00:46:38.490]   out
[00:46:38.490 --> 00:46:38.680]   and
[00:46:38.680 --> 00:46:38.700]   and
[00:46:38.700 --> 00:46:39.310]   now
[00:46:39.310 --> 00:46:39.370]   yeah
[00:46:39.370 --> 00:46:40.130]   occasionally
[00:46:40.130 --> 00:46:40.310]   he
[00:46:40.310 --> 00:46:40.820]   scram
[00:46:40.820 --> 00:46:40.820]  bles
[00:46:40.820 --> 00:46:41.170]   but
[00:46:41.170 --> 00:46:41.220]   you
[00:46:41.220 --> 00:46:41.460]   know
[00:46:41.460 --> 00:46:41.820]   mostly
[00:46:41.820 --> 00:46:41.840]  . [SPEAKER_TURN]
[00:46:41.840 --> 00:46:42.000]   It
[00:46:42.000 --> 00:46:42.080]  's
[00:46:42.080 --> 00:46:42.120]   not
[00:46:42.120 --> 00:46:42.200]   it
[00:46:42.200 --> 00:46:42.280]  's
[00:46:42.280 --> 00:46:42.400]   not
[00:46:42.400 --> 00:46:42.520]   his
[00:46:42.520 --> 00:46:42.660]   big
[00:46:42.660 --> 00:46:42.850]   thing
[00:46:42.850 --> 00:46:43.210]   anymore
[00:46:43.210 --> 00:46:43.680]  . [SPEAKER_TURN]
[00:46:43.680 --> 00:46:43.900]   He
[00:46:43.900 --> 00:46:43.900]   can
[00:46:43.900 --> 00:46:43.990]  't
[00:46:43.990 --> 00:46:44.030]   I
[00:46:44.030 --> 00:46:44.160]  .
[00:46:44.160 --> 00:46:44.340]   mean
[00:46:44.340 --> 00:46:44.520]   yeah
[00:46:44.520 --> 00:46:44.650]   you
[00:46:44.650 --> 00:46:44.830]   the
[00:46:44.830 --> 00:46:45.120]   other
[00:46:45.120 --> 00:46:45.190]   team
[00:46:45.190 --> 00:46:45.380]   will
[00:46:45.380 --> 00:46:45.570]   take
[00:46:45.570 --> 00:46:45.640]   it
[00:46:45.640 --> 00:46:45.820]   away
[00:46:45.820 --> 00:46:45.950]   the
[00:46:45.950 --> 00:46:46.040]  ,
[00:46:46.040 --> 00:46:46.350]   smart
[00:46:46.350 --> 00:46:46.450]   team
[00:46:46.450 --> 00:46:46.640]   will
[00:46:46.640 --> 00:46:46.810]   take
[00:46:46.810 --> 00:46:46.900]   it
[00:46:46.900 --> 00:46:47.070]   away
[00:46:47.070 --> 00:46:47.280]   like
[00:46:47.280 --> 00:46:47.390]   you
[00:46:47.390 --> 00:46:47.580]   know
[00:46:47.580 --> 00:46:47.750]   they
[00:46:47.750 --> 00:46:47.920]   can
[00:46:47.920 --> 00:46:47.970]  't
[00:46:47.970 --> 00:46:48.060]   if
[00:46:48.060 --> 00:46:48.290]   you
[00:46:48.290 --> 00:46:48.380]   have
[00:46:48.380 --> 00:46:48.700]   more
[00:46:48.700 --> 00:46:48.730]   than
[00:46:48.730 --> 00:46:48.860]   one
[00:46:48.860 --> 00:46:49.040]   move
[00:46:49.040 --> 00:46:49.200]   you
[00:46:49.200 --> 00:46:49.440]   really
[00:46:49.440 --> 00:46:49.570]   can
[00:46:49.570 --> 00:46:49.660]  't
[00:46:49.660 --> 00:46:49.840]   take
[00:46:49.840 --> 00:46:50.020]   away
[00:46:50.020 --> 00:46:50.480]   everything
[00:46:50.480 --> 00:46:50.610]   you
[00:46:50.610 --> 00:46:50.840]   just
[00:46:50.840 --> 00:46:50.970]   take
[00:46:50.970 --> 00:46:51.380]   away
[00:46:51.380 --> 00:46:51.530]   their
[00:46:51.530 --> 00:46:51.560]   best
[00:46:51.560 --> 00:46:51.790]   thing
[00:46:51.790 --> 00:46:52.540]  . [SPEAKER_TURN]
[00:46:52.540 --> 00:46:53.040]   Alright
[00:46:53.040 --> 00:46:53.480]   well
[00:46:53.480 --> 00:46:53.500]   so
[00:46:53.500 --> 00:46:53.620]   it
[00:46:53.620 --> 00:46:53.760]  's
[00:46:53.760 --> 00:46:53.830]   a
[00:46:53.830 --> 00:46:54.120]   back
[00:46:54.120 --> 00:46:54.260]   on
[00:46:54.260 --> 00:46:54.410]   to
[00:46:54.410 --> 00:46:54.690]   tech
[00:46:54.690 --> 00:46:54.980]   have
[00:46:54.980 --> 00:46:55.180]   you
[00:46:55.180 --> 00:46:55.450]   got
[00:46:55.450 --> 00:46:55.610]   any
[00:46:55.610 --> 00:46:56.420]   um [SPEAKER_TURN]
[00:46:56.420 --> 00:46:56.440]  
[00:46:56.440 --> 00:46:56.490]   I
[00:46:56.490 --> 00:46:56.710]   got
[00:46:56.710 --> 00:46:56.780]   a
[00:46:56.780 --> 00:46:57.130]   bunch
[00:46:57.130 --> 00:46:57.280]   of
[00:46:57.280 --> 00:46:57.640]   stuff
